proposer,total_bills,solo_bills,collaboration_bills,avg_collaboration_size
이연희,80,0,80,18.62
이소영,40,0,40,15.75
황명선,70,0,70,13.29
주철현,40,0,40,13.50
이용선,60,0,60,12.83
서왕진,10,0,10,11.00
한정애,280,0,280,10.29
박균택,10,0,10,13.00
이해식,80,0,80,10.75
김용만,70,0,70,21.00
김장겸,30,0,30,12.33
김남희,40,0,40,30.75
김위상,40,0,40,9.50
성일종,40,0,40,9.00
김도읍,30,0,30,12.00
이건태,10,0,10,49.00
서영석,20,0,20,24.00
김종양,40,0,40,10.00
김동아,10,0,10,12.00
김민석,10,0,10,12.00
윤종오,20,0,20,21.00
이광희,20,0,20,12.00
양부남,10,0,10,27.00
전현희,20,0,20,61.00
최은석,10,0,10,13.00
문대림,30,0,30,15.33
김영진,60,0,60,9.33
김영호,30,0,30,12.33
이재강,30,0,30,17.33
오세희,20,0,20,32.00
천준호,10,0,10,12.00
복기왕,20,0,20,28.00
조계원,20,0,20,14.00
곽규택,60,0,60,14.00
주호영,70,0,70,12.00
신장식,20,0,20,11.00
박주민,50,0,50,10.00
한준호,40,30,10,13.00
박수현,10,10,0,0.00
김문수,60,0,60,13.50
박홍배,90,0,90,10.78
강선우,20,0,20,16.00
강선영,10,0,10,11.00
박성준,20,0,20,13.00
배현진,40,0,40,12.25
최형두,30,0,30,14.00
용혜인,10,0,10,19.00
송기헌,30,0,30,11.33
고동진,30,0,30,80.67
정점식,30,0,30,42.33
정혜경,10,0,10,11.00
김상훈,30,0,30,107.00
박선원,10,0,10,19.00
임광현,20,0,20,18.50
이학영,90,0,90,9.11
이용우의원ㆍ신장식의원ㆍ윤종오,10,0,10,86.00
어기구,40,0,40,9.25
서지영,30,0,30,12.00
신동욱,30,0,30,14.67
문정복,20,0,20,10.50
임호선,10,0,10,16.00
정춘생,30,0,30,12.00
윤후덕,10,0,10,61.00
이성권,30,0,30,16.00
정을호,40,0,40,11.75
이상휘,20,0,20,13.50
최보윤,10,0,10,19.00
문진석,30,0,30,9.67
조인철,20,0,20,19.50
노종면,10,0,10,14.00
강훈식,20,0,20,11.00
김소희,10,0,10,14.00
강명구,10,0,10,10.00
김미애,30,0,30,74.67
정혜경의원ㆍ김준형의원ㆍ김영호,10,0,10,21.00
민홍철,90,0,90,10.00
정동만,20,0,20,17.00
한창민,20,0,20,10.50
박정현,10,0,10,37.00
한민수,40,0,40,17.00
한기호,10,0,10,9.00
문금주의원ㆍ정점식,50,0,50,21.40
이재관,20,0,20,20.50
윤호중,20,0,20,9.00
박덕흠,50,0,50,9.80
조정식,50,0,50,15.00
강득구,10,0,10,10.00
박범계,10,0,10,52.00
염태영,10,0,10,46.00
안도걸,30,0,30,14.33
김준혁,10,0,10,16.00
우재준,10,0,10,12.00
권영진,20,0,20,13.50
장경태,50,0,50,17.60
박지혜,20,0,20,33.50
임오경,50,0,50,10.80
장종태,10,0,10,16.00
박성민,10,0,10,9.00
박지원,10,0,10,19.00
곽규택의원ㆍ민홍철,10,0,10,19.00
박홍근,10,0,10,40.00
박찬대,30,0,30,1.00
