name,party,committee,district,representative_bills,co_sponsor_bills,total_bills,legislative_score,legislative_grade,collaboration_strength,quality_score,quality_grade,is_cluster_member,cluster_bonus,final_score,final_grade
고동진,국민의힘,행정안전위원회,서울 강남구병,30,0,30,229.83,S+,3490.632894736842,14.333333333333334,A,True,50,141.26533333333336,A+
김남희,더불어민주당,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",경기 광명시을,40,0,40,207.12,S+,2554.1000000000004,17.0,A+,True,50,134.848,A+
김주영,더불어민주당,환경노동위원회,경기 김포시갑/경기 김포시갑,50,0,50,212.0,S+,2652.0000000000005,13.4,A,True,50,133.20000000000002,A+
권칠승,더불어민주당,행정안전위원회,경기 화성시병/경기 화성시병/경기 화성시병,50,0,50,200.8,S+,2091.9684210526316,13.0,A,True,50,128.32,A+
강민국,국민의힘,정무위원회,경남 진주시을/경남 진주시을,40,0,40,173.38,S,1816.3894736842105,14.25,A,True,50,118.602,A+
김위상,국민의미래,"환경노동위원회, 예산결산특별위원회",비례대표,40,0,40,163.85,S,1309.5,17.5,A+,True,50,118.04,A+
김원이,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",전남 목포시/전남 목포시,40,0,40,172.5,S,1923.9868421052633,12.75,A,True,50,116.75,A+
김종양,국민의힘,"국토교통위원회, 예산결산특별위원회",경남 창원시의창구,40,0,40,165.88,S,1643.8000000000002,14.5,A,True,50,115.852,A+
모경종,더불어민주당,"행정안전위원회, 연금개혁 특별위원회",인천 서구병,40,0,40,165.62,S,1868.4,14.5,A,True,50,115.748,A+
김용민,더불어민주당,법제사법위원회,경기 남양주시병/경기 남양주시병,40,0,40,160.64,S,1856.9157894736843,12.75,A,True,50,112.006,A+
김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병/서울 노원구병/서울 노원구을,20,0,20,149.0,A+,2563.492105263158,13.0,A,True,50,107.6,A+
김현,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 안산시을,40,0,40,146.79,A+,1343.042105263158,13.75,A,True,50,107.46600000000001,A+
강준현,더불어민주당,정무위원회,세종특별자치시을/세종특별자치시을,30,0,30,137.67,A+,1826.6223684210527,16.333333333333332,A+,True,50,106.40133333333333,A+
김장겸,국민의미래,과학기술정보방송통신위원회,비례대표,30,0,30,131.58,A+,1334.9368421052632,18.666666666666668,A+,True,50,106.29866666666668,A+
김영호,더불어민주당,교육위원회,서울 서대문구을/서울 서대문구을/서울 서대문구을,30,10,40,146.25,A+,1773.2289473684211,11.25,B+,True,50,104.75,A+
김현정,더불어민주당,정무위원회,경기 평택시병,30,0,30,135.02,A+,1936.6513157894738,13.666666666666666,A,True,50,102.67466666666668,A+
김태호,국민의힘,외교통일위원회,경남 김해시을/경남 김해시을/경남 산청군함양군거창군합천군/경남 양산시을,30,0,30,129.88,A+,1492.0776315789474,14.666666666666666,A,True,50,101.61866666666667,A+
문대림,더불어민주당,농림축산식품해양수산위원회,제주 제주시갑,30,0,30,129.25,A+,1889.4381578947368,14.666666666666666,A,True,50,101.36666666666667,A+
강승규,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 마포구갑/충남 홍성군예산군,30,0,30,127.9,A+,1554.9947368421053,15.0,A+,True,50,101.16,A+
김도읍,국민의힘,국토교통위원회,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,30,0,30,128.5,A+,1646.4828947368421,14.666666666666666,A,True,50,101.06666666666668,A+
김석기,국민의힘,외교통일위원회,경북 경주시/경북 경주시/경북 경주시,30,0,30,126.9,A+,1475.2592105263159,15.0,A+,True,50,100.76,A+
문진석,더불어민주당,"국토교통위원회, 국회운영위원회",충남 천안시갑/충남 천안시갑,30,0,30,130.05,A+,1505.4,13.0,A,True,50,100.02000000000001,A+
김윤,더불어민주연합,"보건복지위원회, 예산결산특별위원회",비례대표,60,0,60,194.67,S,0.0,13.0,A,True,50,95.868,A
김기현,국민의힘,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,20,0,20,89.62,A,1386.7,16.0,A+,True,50,86.84800000000001,A
문정복,더불어민주당,교육위원회,경기 시흥시갑/경기 시흥시갑,20,0,20,88.5,A,1496.2315789473685,16.0,A+,True,50,86.4,A
김준형,조국혁신당,외교통일위원회,비례대표,20,10,30,100.45,A+,1215.6881578947368,10.333333333333334,B+,True,50,85.51333333333335,A
강선우,더불어민주당,"연금개혁 특별위원회, 외교통일위원회",서울 강서구갑/서울 강서구갑,20,0,20,89.5,A,1498.0000000000002,14.0,A,True,50,84.80000000000001,A
권영진,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",서울 노원구을/대구 달서구병,20,0,20,91.5,A,1421.5,13.0,A,True,50,84.6,A
강훈식,더불어민주당,Unknown,충남 아산시을/충남 아산시을/충남 아산시을,20,0,20,91.35,A,1290.9657894736843,13.0,A,True,50,84.53999999999999,A
강경숙,조국혁신당,교육위원회,비례대표,20,0,20,91.55,A,1202.0105263157895,12.5,A,True,50,84.12,A
김은혜,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",경기 성남시분당구갑/경기 성남시분당구을,20,0,20,83.65,A,1343.2,10.0,B+,True,50,78.46000000000001,B+
김준혁,더불어민주당,"교육위원회, 국회운영위원회",경기 수원시정,10,0,10,54.0,B,1221.4,18.0,A+,True,50,74.6,B+
김태선,더불어민주당,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 동구,10,0,10,50.5,B,1204.8,18.0,A+,True,50,73.2,B+
노종면,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",인천 부평구갑,10,0,10,50.5,B,1205.6,18.0,A+,True,50,73.2,B+
김민석,더불어민주당,국방위원회,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,10,0,10,49.5,B,1209.1026315789472,18.0,A+,True,50,72.8,B+
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",경기 안양시만안구/경기 안양시만안구,10,0,10,48.5,B,1185.3947368421052,18.0,A+,True,50,72.4,B+
강선영,국민의미래,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",비례대표,10,0,10,49.6,B,895.5000000000001,18.0,A+,True,50,69.70500000000001,B+
나경원,국민의힘,법제사법위원회,비례대표/서울 중구/서울 동작구을/서울 동작구을/서울 동작구을,10,0,10,52.0,B,1256.5184210526315,13.0,A,True,50,68.8,B+
김성회,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",경기 고양시갑,10,0,10,46.5,B,1179.5,15.0,A+,True,50,68.6,B+
김동아,더불어민주당,산업통상자원중소벤처기업위원회,서울 서대문구갑,10,0,10,51.1,B,1215.3842105263159,13.0,A,True,50,68.44,B+
강명구,국민의힘,농림축산식품해양수산위원회,경북 구미시을,10,0,10,50.0,B,1119.4381578947368,13.0,A,True,50,68.0,B+
김소희,국민의미래,"환경노동위원회, 기후위기 특별위원회",비례대표,10,0,10,46.25,B,933.7263157894737,10.0,B+,True,50,61.5117894736842,B+
맹성규,더불어민주당,국토교통위원회,인천 남동구갑/인천 남동구갑/인천 남동구갑,10,0,10,37.0,C+,0.0,13.0,A,True,50,32.8,C+
김기웅,국민의힘,"외교통일위원회, 예산결산특별위원회",대구 중구남구,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
곽상언,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 종로구,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
권향엽,더불어민주당,"산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",전남 순천시광양시곡성군구례군을,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김형동,국민의힘,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",경북 안동시예천군/경북 안동시예천군,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김건,국민의미래,외교통일위원회,비례대표,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김교흥,더불어민주당,문화체육관광위원회,인천광역시 서구강화군갑/인천 서구갑/인천 서구갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
권성동,국민의힘,보건복지위원회,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김영환,더불어민주당,기획재정위원회,경기 고양시정,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김기표,더불어민주당,법제사법위원회,경기 부천시을,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김태년,더불어민주당,기획재정위원회,경기도 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김용태,국민의힘,"교육위원회, 기후위기 특별위원회, 연금개혁 특별위원회",경기 포천시가평군,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김대식,국민의힘,"교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산 사상구,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김종민,새로운미래,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",충남 논산시계룡시금산군/충남 논산시계룡시금산군/세종특별자치시갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김민전,국민의미래,교육위원회,비례대표,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김재원,조국혁신당,"문화체육관광위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김재섭,국민의힘,"정무위원회, 연금개혁 특별위원회",서울 도봉구갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김병기,더불어민주당,"정보위원회, 국회운영위원회, 국방위원회",서울 동작구갑/서울 동작구갑/서울 동작구갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김병주,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표/경기 남양주시을,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김상욱,국민의힘,"예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",울산 남구갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김승원,더불어민주당,"정무위원회, 예산결산특별위원회",경기 수원시갑/경기 수원시갑,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김우영,더불어민주당,과학기술정보방송통신위원회,서울 은평구을,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
김남근,더불어민주당,"정무위원회, 예산결산특별위원회, 국회운영위원회",서울 성북구을,0,0,0,0.0,D,0.0,0.0,C,True,50,5.0,C
