이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
김재원,조국혁신당,"문화체육관광위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김종민,새로운미래,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",충남 논산시계룡시금산군/충남 논산시계룡시금산군/세종특별자치시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김태년,더불어민주당,기획재정위원회,경기도 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구/경기 성남시수정구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김형동,국민의힘,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",경북 안동시예천군/경북 안동시예천군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박민규,더불어민주당,"예산결산특별위원회, 기획재정위원회",서울 관악구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박상웅,국민의힘,산업통상자원중소벤처기업위원회,경남 밀양시의령군함안군창녕군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박수민,국민의힘,"국회운영위원회, 연금개혁 특별위원회, 행정안전위원회",서울 강남구을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박용갑,더불어민주당,국토교통위원회,대전 중구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박정훈,국민의힘,과학기술정보방송통신위원회,서울 송파구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박준태,국민의미래,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
박형수,국민의힘,"예산결산특별위원회, 산업통상자원중소벤처기업위원회",경북 영주시영양군봉화군울진군/경북 의성군청송군영덕군울진군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
백선희,조국혁신당,"국방위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
백승아,더불어민주연합,"교육위원회, 국회운영위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
부승찬,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 용인시병,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
서명옥,국민의힘,"보건복지위원회, 여성가족위원회",서울 강남구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
서삼석,더불어민주당,농림축산식품해양수산위원회,전남 영암군무안군신안군/전남 영암군무안군신안군/전남 영암군무안군신안군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
서일준,국민의힘,산업통상자원중소벤처기업위원회,경남 거제시/경남 거제시,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
안규백,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 기획재정위원회",비례대표/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
안상훈,국민의미래,보건복지위원회,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
안태준,더불어민주당,국토교통위원회,경기 광주시을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
안호영,더불어민주당,환경노동위원회,전북 완주군진안군무주군장수군/전북 완주군진안군무주군장수군/전북 완주군진안군무주군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
양문석,더불어민주당,문화체육관광위원회,경기 안산시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
우원식,더불어민주당,,서울특별시 노원구을/서울 노원구을/서울 노원구을/서울 노원구을/서울 노원구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
위성락,더불어민주연합,,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
유영하,국민의힘,"정무위원회, 정보위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",대구 달서구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
윤건영,더불어민주당,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 정보위원회",서울 구로구을/서울 구로구을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
윤재옥,국민의힘,국토교통위원회,대구 달서구을/대구 달서구을/대구 달서구을/대구 달서구을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
윤종군,더불어민주당,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",경기 안성시,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
윤한홍,국민의힘,정무위원회,경남 창원시마산회원구/경남 창원시마산회원구/경남 창원시마산회원구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이강일,더불어민주당,"정무위원회, 예산결산특별위원회",충북 청주시상당구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이기헌,더불어민주당,"정보위원회, 국회운영위원회, 문화체육관광위원회",경기 고양시병,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이달희,국민의미래,"행정안전위원회, 여성가족위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이상식,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 용인시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이언주,더불어민주당,산업통상자원중소벤처기업위원회,경기 광명시을/경기 광명시을/경기 용인시정,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
이인영,더불어민주당,"정무위원회, 정보위원회",서울특별시 구로구갑/서울 구로구갑/서울 구로구갑/서울 구로구갑/서울 구로구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
