proposer1,proposer2,collaboration_score
백종헌,김동아,10.00
백종헌,김문수,10.00
백종헌,김미애,10.00
백종헌,김민석,10.00
백종헌,김민전,10.00
백종헌,김병기,10.00
백종헌,김병주,10.00
백종헌,김상욱,10.00
백종헌,김상훈,10.00
백종헌,김석기,10.00
백종헌,김선교,10.00
백종헌,김선민,10.00
백종헌,김성원,10.00
백종헌,김성환,10.00
백종헌,김성회,10.00
백종헌,김소희,10.00
백종헌,김승수,10.00
백종헌,김승원,10.00
백종헌,김영배,10.00
백종헌,김영진,10.00
백종헌,김영호,10.00
백종헌,김영환,10.00
백종헌,김예지,10.00
백종헌,김용만,10.00
백종헌,김용민,10.00
백종헌,김용태,10.00
백종헌,김우영,10.00
백종헌,김원이,10.00
백종헌,김위상,10.00
백종헌,김윤,10.00
백종헌,김윤덕,10.00
백종헌,김은혜,10.00
백종헌,김장겸,10.00
백종헌,김재섭,10.00
백종헌,김재원,10.00
백종헌,김정재,10.00
백종헌,김정호,10.00
백종헌,김종민,10.00
백종헌,김종양,10.00
백종헌,김주영,10.00
백종헌,김준혁,10.00
백종헌,김준형,10.00
백종헌,김태년,10.00
백종헌,김태선,10.00
백종헌,김태호,10.00
백종헌,김한규,10.00
백종헌,김현,10.00
백종헌,김현정,10.00
백종헌,김형동,10.00
백종헌,김희정,10.00
백종헌,나경원,10.00
백종헌,남인순,10.00
백종헌,노종면,10.00
백종헌,맹성규,10.00
백종헌,모경종,10.00
백종헌,문금주,10.00
백종헌,문대림,10.00
백종헌,문정복,10.00
백종헌,문진석,10.00
정성호,강경숙,109.00
정성호,강대식,109.00
정성호,강득구,109.00
정성호,강명구,109.00
정성호,강민국,109.00
정성호,강선영,109.00
정성호,강선우,109.00
정성호,강승규,109.00
정성호,강유정,109.00
정성호,강준현,109.00
정성호,강훈식,109.00
정성호,고동진,109.00
정성호,고민정,109.00
정성호,곽규택,109.00
정성호,곽상언,109.00
정성호,구자근,109.00
정성호,권성동,109.00
정성호,권영세,109.00
정성호,권영진,109.00
정성호,권칠승,109.00
정성호,권향엽,109.00
정성호,김건,109.00
정성호,김교흥,109.00
정성호,김기웅,109.00
정성호,김기표,109.00
정성호,김기현,109.00
정성호,김남근,109.00
정성호,김남희,109.00
정성호,김대식,109.00
정성호,김도읍,109.00
정성호,김동아,109.00
정성호,김문수,109.00
정성호,김미애,109.00
정성호,김민석,109.00
정성호,김민전,109.00
정성호,김병기,109.00
정성호,김병주,109.00
정성호,김상욱,109.00
정성호,김상훈,109.00
정성호,김석기,109.00
정성호,김선교,109.00
정성호,김선민,109.00
정성호,김성원,109.00
정성호,김성환,109.00
정성호,김성회,109.00
정성호,김소희,109.00
정성호,김승수,109.00
정성호,김승원,109.00
정성호,김영배,109.00
정성호,김영진,109.00
정성호,김영호,109.00
정성호,김영환,109.00
정성호,김예지,109.00
정성호,김용만,109.00
정성호,김용민,109.00
정성호,김용태,109.00
정성호,김우영,109.00
정성호,김원이,109.00
정성호,김위상,109.00
정성호,김윤,109.00
정성호,김윤덕,109.00
정성호,김은혜,109.00
정성호,김장겸,109.00
정성호,김재섭,109.00
정성호,김재원,109.00
정성호,김정재,109.00
정성호,김정호,109.00
정성호,김종민,109.00
정성호,김종양,109.00
정성호,김주영,109.00
정성호,김준혁,109.00
정성호,김준형,109.00
정성호,김태년,109.00
정성호,김태선,109.00
정성호,김태호,109.00
정성호,김한규,109.00
정성호,김현,109.00
정성호,김현정,109.00
정성호,김형동,109.00
정성호,김희정,109.00
정성호,나경원,109.00
정성호,남인순,109.00
정성호,노종면,109.00
정성호,맹성규,109.00
정성호,모경종,109.00
정성호,문금주,109.00
정성호,문대림,109.00
정성호,문정복,109.00
정성호,문진석,109.00
황정아,강경숙,126.00
황정아,강대식,126.00
황정아,강득구,126.00
황정아,강명구,126.00
황정아,강민국,126.00
황정아,강선영,126.00
황정아,강선우,126.00
황정아,강승규,126.00
황정아,강유정,126.00
황정아,강준현,126.00
황정아,강훈식,126.00
황정아,고동진,126.00
황정아,고민정,126.00
황정아,곽규택,126.00
황정아,곽상언,126.00
황정아,구자근,126.00
황정아,권성동,126.00
황정아,권영세,126.00
황정아,권영진,126.00
황정아,권칠승,126.00
황정아,권향엽,126.00
황정아,김건,126.00
황정아,김교흥,126.00
황정아,김기웅,126.00
황정아,김기표,126.00
황정아,김기현,126.00
황정아,김남근,126.00
황정아,김남희,126.00
황정아,김대식,126.00
황정아,김도읍,126.00
황정아,김동아,126.00
황정아,김문수,126.00
황정아,김미애,126.00
황정아,김민석,126.00
황정아,김민전,126.00
황정아,김병기,126.00
황정아,김병주,126.00
황정아,김상욱,126.00
황정아,김상훈,126.00
황정아,김석기,126.00
황정아,김선교,126.00
황정아,김선민,126.00
황정아,김성원,126.00
황정아,김성환,126.00
황정아,김성회,126.00
황정아,김소희,126.00
황정아,김승수,126.00
황정아,김승원,126.00
황정아,김영배,126.00
황정아,김영진,126.00
황정아,김영호,126.00
황정아,김영환,126.00
황정아,김예지,126.00
황정아,김용만,126.00
황정아,김용민,126.00
황정아,김용태,126.00
황정아,김우영,126.00
황정아,김원이,126.00
황정아,김위상,126.00
황정아,김윤,126.00
황정아,김윤덕,126.00
황정아,김은혜,126.00
황정아,김장겸,126.00
황정아,김재섭,126.00
황정아,김재원,126.00
황정아,김정재,126.00
황정아,김정호,126.00
황정아,김종민,126.00
황정아,김종양,126.00
황정아,김주영,126.00
황정아,김준혁,126.00
황정아,김준형,126.00
황정아,김태년,126.00
황정아,김태선,126.00
황정아,김태호,126.00
황정아,김한규,126.00
황정아,김현,126.00
황정아,김현정,126.00
황정아,김형동,126.00
황정아,김희정,126.00
황정아,나경원,126.00
황정아,남인순,126.00
황정아,노종면,126.00
황정아,맹성규,126.00
황정아,모경종,126.00
황정아,문금주,126.00
황정아,문대림,126.00
황정아,문정복,126.00
황정아,문진석,126.00
김성원,강경숙,170.00
김성원,강대식,358.00
김성원,강득구,200.00
김성원,강명구,320.00
김성원,강민국,320.00
김성원,강선영,170.00
김성원,강선우,200.00
김성원,강승규,350.00
김성원,강유정,154.00
김성원,강준현,170.00
김성원,강훈식,154.00
김성원,고동진,374.00
김성원,고민정,200.00
김성원,곽규택,350.00
김성원,곽상언,200.00
김성원,구자근,334.00
김성원,권성동,320.00
김성원,권영세,350.00
김성원,권영진,350.00
김성원,권칠승,224.00
김성원,권향엽,170.00
김성원,김건,170.00
김성원,김교흥,200.00
김성원,김기웅,350.00
김성원,김기표,208.00
김성원,김기현,350.00
김성원,김남근,200.00
김성원,김남희,200.00
김성원,김대식,350.00
김성원,김도읍,358.00
김성원,김동아,214.00
김성원,김문수,170.00
김성원,김미애,350.00
김성원,김민석,208.00
김성원,김민전,170.00
김성원,김병기,200.00
김성원,김병주,200.00
김성원,김상욱,350.00
김성원,김상훈,350.00
김성원,김석기,320.00
김성원,김선교,350.00
김성원,김선민,170.00
김성원,김성환,214.00
김성원,김성회,200.00
김성원,김소희,170.00
김성원,김승수,350.00
김성원,김승원,200.00
김성원,김영배,200.00
김성원,김영진,200.00
김성원,김영호,200.00
김성원,김영환,208.00
김성원,김예지,170.00
김성원,김용만,200.00
김성원,김용민,208.00
김성원,김용태,350.00
김성원,김우영,208.00
김성원,김원이,170.00
김성원,김위상,170.00
김성원,김윤,170.00
김성원,김윤덕,170.00
김성원,김은혜,350.00
김성원,김장겸,178.00
김성원,김재섭,350.00
김성원,김재원,170.00
김성원,김정재,328.00
