이름,정당,위원회,지역구,법안수
윤종오,진보당,"국토교통위원회, 국회운영위원회",울산 북구/울산 북구,30
이성권,국민의힘,"정보위원회, 행정안전위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산광역시 부산진구을/부산 사하구갑,30
이성윤,더불어민주당,법제사법위원회,전북 전주시을,30
이재강,더불어민주당,외교통일위원회,경기 의정부시을,30
이훈기,더불어민주당,"과학기술정보방송통신위원회, 국회운영위원회",인천 남동구을,30
임미애,더불어민주연합,"농림축산식품해양수산위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",비례대표,30
최수진,국민의미래,"과학기술정보방송통신위원회, 국회운영위원회",비례대표,30
최형두,국민의힘,과학기술정보방송통신위원회,경남 창원시마산합포구/경남 창원시마산합포구,30
허영,더불어민주당,"정무위원회, 국회운영위원회",강원 춘천시철원군화천군양구군갑/강원 춘천시철원군화천군양구군갑,30
허종식,더불어민주당,산업통상자원중소벤처기업위원회,인천 동구미추홀구갑/인천 동구미추홀구갑,30
강경숙,조국혁신당,교육위원회,비례대표,20
강선우,더불어민주당,"연금개혁 특별위원회, 외교통일위원회",서울 강서구갑/서울 강서구갑,20
강훈식,더불어민주당,,충남 아산시을/충남 아산시을/충남 아산시을,20
권영진,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",서울 노원구을/대구 달서구병,20
김기현,국민의힘,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,20
김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병/서울 노원구병/서울 노원구을,20
김은혜,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",경기 성남시분당구갑/경기 성남시분당구을,20
문정복,더불어민주당,교육위원회,경기 시흥시갑/경기 시흥시갑,20
박성준,더불어민주당,교육위원회,서울 중구성동구을/서울 중구성동구을,20
박지혜,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",경기 의정부시갑,20
배준영,국민의힘,"국토교통위원회, 예산결산특별위원회",인천 중구강화군옹진군/인천 중구강화군옹진군,20
복기왕,더불어민주당,국토교통위원회,충청남도 아산시/충남 아산시갑,20
서미화,더불어민주연합,"국회운영위원회, 보건복지위원회",비례대표,20
서영석,더불어민주당,보건복지위원회,경기 부천시정/경기 부천시갑,20
서천호,국민의힘,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 산불피해지원대책 특별위원회",경남 사천시남해군하동군,20
안철수,국민의힘,외교통일위원회,서울 노원구병/서울 노원구병/경기 성남시분당구갑/경기 성남시분당구갑,20
오기형,더불어민주당,"기획재정위원회, 연금개혁 특별위원회",서울 도봉구을/서울 도봉구을,20
오세희,더불어민주연합,"산업통상자원중소벤처기업위원회, 국회운영위원회",비례대표,20
위성곤,더불어민주당,"행정안전위원회, 기후위기 특별위원회",제주 서귀포시/제주 서귀포시/제주 서귀포시,20
윤호중,더불어민주당,보건복지위원회,경기도 구리시/경기 구리시/경기 구리시/경기 구리시/경기 구리시,20
이개호,더불어민주당,보건복지위원회,전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군,20
이광희,더불어민주당,행정안전위원회,충북 청주시서원구,20
이상휘,국민의힘,과학기술정보방송통신위원회,경북 포항시남구울릉군,20
이인선,국민의힘,"기획재정위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",대구 수성구을/대구 수성구을,20
이재관,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",충남 천안시을,20
임광현,더불어민주연합,,비례대표,20
전재수,더불어민주당,산업통상자원중소벤처기업위원회,부산 북구강서구갑/부산 북구강서구갑/부산 북구갑,20
전현희,더불어민주당,법제사법위원회,비례대표/서울 강남구을/서울 중구성동구갑,20
조인철,더불어민주당,"과학기술정보방송통신위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 국회운영위원회",광주 서구갑,20
조정훈,국민의힘,"교육위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표/서울 마포구갑,20
차규근,조국혁신당,"기획재정위원회, 산불피해지원대책 특별위원회",비례대표,20
추경호,국민의힘,정무위원회,대구 달성군/대구 달성군/대구 달성군,20
한창민,더불어민주연합,정무위원회,비례대표,20
강득구,더불어민주당,"환경노동위원회, 기후위기 특별위원회",경기 안양시만안구/경기 안양시만안구,10
강명구,국민의힘,농림축산식품해양수산위원회,경북 구미시을,10
강선영,국민의미래,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",비례대표,10
김동아,더불어민주당,산업통상자원중소벤처기업위원회,서울 서대문구갑,10
김민석,더불어민주당,국방위원회,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,10
김성회,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",경기 고양시갑,10
김소희,국민의미래,"환경노동위원회, 기후위기 특별위원회",비례대표,10
김준혁,더불어민주당,"교육위원회, 국회운영위원회",경기 수원시정,10
김태선,더불어민주당,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 동구,10
나경원,국민의힘,법제사법위원회,비례대표/서울 중구/서울 동작구을/서울 동작구을/서울 동작구을,10
노종면,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",인천 부평구갑,10
맹성규,더불어민주당,국토교통위원회,인천 남동구갑/인천 남동구갑/인천 남동구갑,10
박균택,더불어민주당,법제사법위원회,광주 광산구갑,10
박범계,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",대전 서구을/대전 서구을/대전 서구을/대전 서구을,10
박선원,더불어민주당,"국방위원회, 정보위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",인천 부평구을,10
박성민,국민의힘,산업통상자원중소벤처기업위원회,울산 중구/울산 중구,10
박수영,국민의힘,기획재정위원회,부산 남구갑/부산 남구,10
박수현,더불어민주당,문화체육관광위원회,충남 공주시/충남 공주시부여군청양군,10
박은정,조국혁신당,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표,10
박정현,더불어민주당,"행정안전위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",대전 대덕구,10
박지원,더불어민주당,"법제사법위원회, 정보위원회",전남 목포시/전남 목포시/전남 목포시/전남 해남군완도군진도군,10
박홍근,더불어민주당,기획재정위원회,서울 중랑구을/서울 중랑구을/서울 중랑구을/서울 중랑구을,10
백종헌,국민의힘,보건복지위원회,부산 금정구/부산 금정구,10
서왕진,조국혁신당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 예산결산특별위원회",비례대표,10
양부남,더불어민주당,행정안전위원회,광주 서구을,10
염태영,더불어민주당,"국토교통위원회, 기후위기 특별위원회",경기 수원시무,10
용혜인,더불어민주연합,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표/비례대표,10
우재준,국민의힘,"환경노동위원회, 연금개혁 특별위원회",대구 북구갑,10
윤후덕,더불어민주당,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",경기 파주시갑/경기 파주시갑/경기 파주시갑/경기 파주시갑,10
이건태,더불어민주당,국토교통위원회,경기 부천시병,10
이만희,국민의힘,"2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회",경북 영천시청도군/경북 영천시청도군/경북 영천시청도군,10
이양수,국민의힘,정무위원회,강원 속초시고성군양양군/강원 속초시인제군고성군양양군/강원 속초시인제군고성군양양군,10
이용우,더불어민주당,환경노동위원회,인천 서구을,10
이재명,더불어민주당,,인천 계양구을/인천 계양구을,10
임호선,더불어민주당,농림축산식품해양수산위원회,충북 증평군진천군음성군/충북 증평군진천군음성군,10
장종태,더불어민주당,보건복지위원회,대전 서구갑,10
전진숙,더불어민주당,"보건복지위원회, 여성가족위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",광주 북구을,10
조승환,국민의힘,농림축산식품해양수산위원회,부산 중구영도구,10
천준호,더불어민주당,국토교통위원회,서울 강북구갑/서울 강북구갑,10
최보윤,국민의미래,보건복지위원회,비례대표,10
최은석,국민의힘,기획재정위원회,대구 동구군위군갑,10
한기호,국민의힘,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 예산결산특별위원회",강원 철원군화천군양구군인제군/강원 철원군화천군양구군인제군/강원 춘천시철원군화천군양구군을/강원 춘천시철원군화천군양구군을,10
